Event,Group,Date (AD Year),SCA Year,Location,Address,City,Zip Code,Autocrat,Toilets,Potable Water,Showers,Camping Availability (Sq Ft),Feast Hall,Equestrian,Archery Allowed,War Field,12th Night,Site Contact,Parking Issues,Site Costs,Attendance,Site Issues,Other Information
The First Tournament,Kingdom of the West,5/1/1966,1,,,Berkeley,,,,,,,,,,,,,,,,,
The Second Tournament,Kingdom of the West,6/25/1966,1,Joaquin Miller Park,3594 Sanborn Drive,Oakland,94602,Elfrida and Walter of Greenwalls,,,,,,,,,,,,,,,
The Third Tournament ,Kingdom of the West,9/25/1966,1,Cragmont Park,960 Regal Rd,Berkeley,94703,,,,,,,,,,,,,,,,
The First Twelfth Night,Kingdom of the West,1/6/1967,1,Mills College - Student Union,5000 MacArthur Blvd. ,Oakland,94613,,,,,,,,,,,,,,,,
The First Coronation and Crown Tournament,Kingdom of the West,3/25/1967,1,Tilden Regional Park - Amphitheater Playfield,2501 Grizzly Peak Blvd,Berkeley,94708,,,,,,,,,,,,,,,,
The First Coronation Tournament,Kingdom of the West,4/30/1967,1,Cragmont Park,960 Regal Rd,Berkeley,94703,,,,,,,,,,,,,,,,
Summer Crown Tourney ,Kingdom of the West,6/24/1967,2,Mills College - Student Union,5000 MacArthur Blvd. ,Oakland,94613,Edwin Bersark,,,,,,,,,,,,,,,
The First Small War,Shire of Caldarium,7/29/1967,2,Nicasio Reservoir,Nicasio Valley Road,Marin,94946,Henrik of Havn,,,,,,,,X,,,,,,,
Fall Coronation and Crown Tourney ,Kingdom of the West,9/30/1967,2,Newman Center (Now St. Thomas Aquinas Church),751 Waverley Street,Palo Alto,94301,Mediocrates of Hellas,,,,,,,,,,,,,,,
Twelfth Night Coronation and Revels ,Kingdom of the West,1/6/1968,2,Mills College - Student Union,5000 MacArthur Blvd. ,Oakland,94613,Jon de Cles and Mediocrates of Hellas,,,,,,,,,,,,,,,
Spring Crown Tourney ,Kingdom of the West,3/23/1968,2,San Francisco Theological Seminary,105 Seminary Rd,San Anselmo,94960,Richard of Mont Real,,,,,,,,,,,,,,,
May Coronation and Crown Tourney ,Kingdom of the West,5/5/1968,3,Tilden Regional Park,2501 Grizzly Peak Blvd,Berkeley,94708,Jon de Cles,,,,,,,,,,,,,,,
Summer Coronation and Crown Tourney ,Kingdom of the West,6/23/1968,3,Mills College - Student Union,5000 MacArthur Blvd. ,Oakland,94613,,,,,,,,,,,,,,,,
Revel With Fighting ,Kingdom of the West,7/21/1968,3,Lake Lagunitas,Sky Oaks Rd.,Fairfax,94904,,,,,,,,,,,,,,,,
Second Small War,Shire of Caldarium,8/3/1968,3,Nicasio Reservoir,Nicasio Valley Road,Marin,94946,Henrik of Havn,,,,,,,,,,,,,,,
Autumn Coronation and Crown Tourney ,Kingdom of the West,9/22/1968,3,Tilden Regional Park,2501 Grizzly Peak Blvd,Berkeley,94708,,,,,,,,,,,,,,,,
Twelfth Night Coronation and Revels ,Kingdom of the West,1/4/1969,3,Mills College - Student Union,5000 MacArthur Blvd. ,Oakland,94613,Geraldine of Toad Hall,,,,,,,,,,,,,,,
Spring Crown ,Kingdom of the West,3/23/1969,3,Douglass St. Playground,26th St. and Douglass,San Francisco,94131,Harold Breakstone,,,,,,,,,,,,,,,
Benefit Tourney and Revel for T.I. ,Kingdom of the West,4/19/1969,3,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,Toad Hall,,,,X,,,,,,,,,,,
May Day Celebration ,Kingdom of the West,4/27/1969,3,Tilden Regional Park,2501 Grizzly Peak Blvd,Berkeley,94708,,,,,,,,,,,,,,,,
Summer Crown Tourney ,Kingdom of the West,6/22/1969,4,El Camino Park,100 El Camino Real,Palo Alto,94304,Joe and Felice of Mayhaven House,,,,,,,,,,,,,,,
Midsummer Picnic Benefit for the Artist ,Kingdom of the West,7/19/1969,4,Mills College - Student Union,5000 MacArthur Blvd. ,Oakland,94613,Geraldine of Toad Hall,,,,,,,,,,,,,,,
Third Small War,Shire of Caldarium,7/26/1969,4,Nicasio Reservoir,Nicasio Valley Road,Marin,94946,Henrik of Havn,,,,,,,,,,,,,,,
August Purgatorio Coronation Festival ,Kingdom of the West,8/16/1969,4,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,Sir Siegfried and Lady Ardis,,,,X,,,,,,,,,,,
Autumn Crown Tourney ,Kingdom of the West,10/4/1969,4,Lafayette Reservoir,3849 Mt. Diablo Blvd.,Lafayette,94549,Stefan de Lorraine,,,,,,,,,,,,,,,
Autumn Revels ,Kingdom of the West,10/26/1969,4,Folsom City Park,403 Stafford Street ,Folsom,95630,Anne of the Golden City,,,,,,,,,,,,,,,
Twelfth Night Coronation and Revel ,Kingdom of the West,1/3/1970,4,Mills College - Student Union,5000 MacArthur Blvd. ,Oakland,94613,Geraldine of Toad Hall,,,,,,,,,,,,,,,
Spring Crown Tourney ,Kingdom of the West,3/21/1970,4,Tilden Regional Park,2501 Grizzly Peak Blvd,Berkeley,94708,,,,,,,,,,,,,,,,
Coronation Festival ,Kingdom of the West,4/25/1970,4,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,,,,,X,,,,,,,,,,,
Second Part of Coronation Tourney ,Kingdom of the West,5/24/1970,5,Tilden Regional Park,2501 Grizzly Peak Blvd,Berkeley,94708,,,,,,,,,,,,,,,,
Midsummer Crown Tourney ,Kingdom of the West,6/20/1970,5,San Francisco Theological Seminary,105 Seminary Rd,San Anselmo,94960,,,,,,,,,,,,,,,,
Fourth Island War,Shire of Caldarium,7/25/1970,5,Nicasio Reservoir,Nicasio Valley Road,Marin,94946,Henrik of Havn,,,,,,,,,,,,,,,
August Purgatorio Coronation Festival ,Kingdom of the West,8/1/1970,5,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,,,,,X,,,,,,,,,,,
Autumn Crown Tourney ,Kingdom of the West,10/10/1970,5,Tilden Regional Park,2501 Grizzly Peak Blvd,Berkeley,94708,,,,,,,,,,,,,,,,
All Hallow's Eve Revel,Shire of Bestwode,10/31/1970,5,Ancil Hoffman Park,6700 Tarshes Dr.,Carmichael,95608,,,,,,,,,,,,,,,,
Christmas Revel,Shire of Bestwode,12/25/1970,5,Women’s Improvement League Hall,,Redding,96003,Gonwynnlynn of Hrassvelg ,,,,,,,,,,,,,,,
Twelfth Night,Kingdom of the West,1/8/1971,5,First Unitarian Church of Berkeley,1 Lawson Road,Berkeley,94707,,,,,,,,,,,,,,,,
The Second Nottingham Faire,Province of the Mists,2/13/1971,5,First Unitarian Church of Berkeley,1 Lawson Road,Berkeley,94707,,,,,,,,,,,,,,,,
Spring Crown Tourney ,Kingdom of the West,3/20/1971,5,San Francisco Theological Seminary,105 Seminary Rd,San Anselmo,94960,,,,,,,,,,,,,,,,
Campout at Red Dog,Province of Golden Rivers,4/17/1971,5,"Red Dog, a ghost town in Nevada County",Red Dog Road,Red Dog,95959,,,,,,,,,,,,,,,,
Beltane,Kingdom of the West,5/1/1971,6,Briones Regional Park,2537 Reliez Valley Road,Martinez,94553,,,,,,,,,,,,,,,,
Queen's Tea ,Kingdom of the West,5/29/1971,6,Joaquin Miller Park - Redwood Bowl,3594 Sanborn Drive,Oakland,94602,,,,,,,,,,,,,,,,
Lydd-Shasta Melee,Province of Golden Rivers,6/1/1971,6,,,Redding,,,,,,,,,,,,,,,,,
Midsummer Crown Tourney ,Kingdom of the West,6/19/1971,6,Coyote Creek Park,985 Hellyer Ave.,San Jose,95111,,,,,,,,,,,,,,,,
Fifth Island War,Shire of Caldarium,7/24/1971,6,Nicasio Reservoir,Nicasio Valley Road,Marin,94946,Henrik of Havn,,,,,,,,,,,,,,,
